station_origin,station_destination,flows,population,jobs,distance
Hounslow Central,Osterley,23,2213,521,1713.179056
Osterley,Hounslow Central,14,1421,708,1713.179056
Heron Quays,Mudchute,18,1788,302,1714.759154
Mudchute,Heron Quays,215,1355,5975,1714.759154
Stonebridge Park,Wembley Central,60,1482,1327,1718.098467
Wembley Central,Stonebridge Park,67,2246,729,1718.098467
Maida Vale,Paddington,109,2142,20198,1720.23851
Paddington,Maida Vale,86,23381,949,1720.23851
Edgware Road,Warwick Avenue,2,2841,1174,1721.257217
Warwick Avenue,Edgware Road,6,2388,6868,1721.257217
Euston,Tottenham Court Road,254,17796,19126,1723.246581
Tottenham Court Road,Euston,22,1773,16800,1723.246581
Edgware Road,Royal Oak,6,2841,856,1725.92779
Royal Oak,Edgware Road,18,1409,6868,1725.92779
London Bridge,Tower Hill,32,32597,8286,1726.458814
Tower Hill,London Bridge,18,8501,29930,1726.458814
Liverpool Street,London Bridge,176,31473,29930,1728.231055
London Bridge,Liverpool Street,163,32597,61122,1728.231055
Northwick Park,Preston Road,20,2114,411,1733.133799
Preston Road,Northwick Park,47,2358,1713,1733.133799
Euston,Russell Square,6,17796,5172,1733.870378
Russell Square,Euston,2,1509,16800,1733.870378
Barons Court,Ravenscourt Park,36,4052,1895,1733.935004
Ravenscourt Park,Barons Court,10,1554,2956,1733.935004
Brockley,Honor Oak Park,5,2322,341,1734.321174
Honor Oak Park,Brockley,5,1750,468,1734.321174
London Bridge,St. Paul's,38,32597,13446,1736.253212
St. Paul's,London Bridge,2,878,29930,1736.253212
Green Park,Tottenham Court Road,6,2066,19126,1738.257863
Tottenham Court Road,Green Park,9,1773,26754,1738.257863
Ladbroke Grove,Shepherd's Bush Market,22,2371,416,1739.705566
Shepherd's Bush Market,Ladbroke Grove,66,1798,2131,1739.705566
Baker Street,Bond Street,39,7444,20967,1744.278231
Bond Street,Baker Street,10,2038,14973,1744.278231
Canada Water,Shadwell,191,27026,7447,1744.589037
Shadwell,Canada Water,217,6741,20443,1744.589037
Brondesbury,Kensal Rise,46,1977,1376,1744.724105
Kensal Rise,Brondesbury,78,1941,712,1744.724105
East Finchley,Highgate,17,5840,856,1749.020658
Highgate,East Finchley,12,4589,1253,1749.020658
Elephant & Castle,Oval,28,9325,2544,1754.726074
Oval,Elephant & Castle,11,3619,6427,1754.726074
London Bridge,Waterloo,791,32597,23466,1754.776015
Waterloo,London Bridge,1862,67372,29930,1754.776015
High Street Kensington,South Kensington,26,2159,15325,1756.452266
South Kensington,High Street Kensington,32,5030,5427,1756.452266
Archway,Kentish Town,248,5642,3404,1758.13712
Kentish Town,Archway,85,2414,2193,1758.13712
Kennington,Waterloo,127,3583,23466,1760.198517
Waterloo,Kennington,115,67372,1161,1760.198517
Leicester Square,Warren Street,15,985,17309,1762.98575
Warren Street,Leicester Square,30,1913,8847,1762.98575
Caledonian Road & Barnsbury,Camden Road,18,543,3784,1764.57829
Camden Road,Caledonian Road & Barnsbury,13,1207,1668,1764.57829
Charing Cross,Southwark,5,6491,10326,1766.186082
Southwark,Charing Cross,8,4882,7016,1766.186082
Aldgate,Cannon Street,4,2886,4698,1766.229956
Cannon Street,Aldgate,106,3874,7782,1766.229956
Finchley Road,Kilburn,26,4738,1953,1771.356132
Kilburn,Finchley Road,93,4630,3417,1771.356132
Baker Street,Oxford Circus,92,7444,44368,1773.590678
Oxford Circus,Baker Street,16,2784,14973,1773.590678
Ladbroke Grove,Royal Oak,15,2371,856,1775.344173
Royal Oak,Ladbroke Grove,20,1409,2131,1775.344173
Gunnersbury,Kew Gardens,16,2274,792,1780.280919
Kew Gardens,Gunnersbury,104,2241,4775,1780.280919
Harrow & Wealdstone,Kenton,50,1741,768,1780.671996
Kenton,Harrow & Wealdstone,123,1049,1335,1780.671996
Leyton Midland Road,Walthamstow Queens Road,27,850,1267,1781.984051
Walthamstow Queens Road,Leyton Midland Road,25,1001,445,1781.984051
Ickenham,Ruislip,16,737,257,1785.654982
Ruislip,Ickenham,29,1305,282,1785.654982
Hyde Park Corner,Oxford Circus,4,259,44368,1790.455776
Oxford Circus,Hyde Park Corner,2,2784,2410,1790.455776
Battersea Park,Clapham High Street,0,0,1296,1790.459591
Clapham High Street,Battersea Park,0,1500,0,1790.459591
Caledonian Road & Barnsbury,Canonbury,8,543,846,1794.709793
Canonbury,Caledonian Road & Barnsbury,30,2410,1668,1794.709793
East India,Westferry,12,1760,1250,1796.779208
Westferry,East India,8,2205,1522,1796.779208
Anerley,Norwood Junction,21,643,406,1798.448057
Norwood Junction,Anerley,8,677,173,1798.448057
Canning Town,North Greenwich,481,21125,6276,1799.942778
North Greenwich,Canning Town,307,10931,15428,1799.942778
Embankment,Holborn,3,4081,22346,1800.877508
Holborn,Embankment,1,1662,10220,1800.877508
Tower Hill,Whitechapel,110,8501,17633,1802.568053
Whitechapel,Tower Hill,264,12281,8286,1802.568053
Eastcote,Ruislip,21,2525,257,1805.125032
Ruislip,Eastcote,25,1305,364,1805.125032
Rayners Lane,South Harrow,11,3452,387,1805.556706
South Harrow,Rayners Lane,5,1516,426,1805.556706
Bethnal Green,London Fields,4,6798,790,1811.288574
London Fields,Bethnal Green,3,1090,4660,1811.288574
North Acton,West Acton,36,3078,488,1811.494775
West Acton,North Acton,19,1172,3168,1811.494775
Barbican,Cannon Street,1,1239,4698,1813.430544
Cannon Street,Barbican,21,3874,9134,1813.430544
Borough,Lambeth North,1,1346,1319,1816.860435
Lambeth North,Borough,1,1114,3254,1816.860435
Crossharbour,Cutty Sark,35,1724,1748,1817.423349
Cutty Sark,Crossharbour,44,2122,1208,1817.423349
Greenford,Northolt,60,2711,663,1818.46626
Northolt,Greenford,164,3585,1157,1818.46626
Eastcote,Rayners Lane,14,2525,426,1819.354378
Rayners Lane,Eastcote,24,3452,364,1819.354378
Baker Street,Paddington,99,7444,20198,1823.471644
Paddington,Baker Street,413,23381,14973,1823.471644
Canary Wharf,North Greenwich,312,14632,6276,1829.783291
North Greenwich,Canary Wharf,1616,10931,58772,1829.783291
Edgware Road,Regent's Park,12,2841,3364,1830.380417
Regent's Park,Edgware Road,2,371,6868,1830.380417
Ilford,Manor Park,19,5298,436,1831.469425
Manor Park,Ilford,18,1763,1665,1831.469425
Green Park,Marble Arch,2,2066,6145,1832.348548
Marble Arch,Green Park,7,1808,26754,1832.348548
Kennington,Lambeth North,0,3583,1319,1835.288672
Lambeth North,Kennington,0,1114,1161,1835.288672
Buckhurst Hill,Loughton,66,1616,655,1835.474403
Loughton,Buckhurst Hill,10,2730,228,1835.474403
Stratford High Street,Stratford International,28,379,1546,1840.368191
Stratford International,Stratford High Street,26,2287,788,1840.368191
Goldhawk Road,Ravenscourt Park,0,1347,1895,1845.692253
Ravenscourt Park,Goldhawk Road,0,1554,370,1845.692253
Canary Wharf,Langdon Park,316,14632,1989,1846.512727
Langdon Park,Canary Wharf,149,1468,58772,1846.512727
Harrow & Wealdstone,Headstone Lane,56,1741,310,1850.91422
Headstone Lane,Harrow & Wealdstone,79,469,1335,1850.91422
Regent's Park,Tottenham Court Road,1,371,19126,1852.352934
Tottenham Court Road,Regent's Park,0,1773,3364,1852.352934
Gloucester Road,West Kensington,7,4779,1345,1854.186508
West Kensington,Gloucester Road,57,2715,5194,1854.186508
Royal Victoria,Star Lane,5,2057,1052,1856.588266
Star Lane,Royal Victoria,0,438,763,1856.588266
Farringdon,King's Cross St. Pancras,260,5052,33330,1857.998438
King's Cross St. Pancras,Farringdon,890,28307,25592,1857.998438
Harringay Green Lanes,South Tottenham,12,507,552,1858.765096
South Tottenham,Harringay Green Lanes,6,420,544,1858.765096
Edgware Road,Great Portland Street,25,2841,6936,1861.659813
Great Portland Street,Edgware Road,12,1136,6868,1861.659813
Goodge Street,Mornington Crescent,8,366,2927,1862.162808
Mornington Crescent,Goodge Street,29,691,6457,1862.162808
Aldgate,Barbican,221,2886,9134,1863.459897
Barbican,Aldgate,55,1239,7782,1863.459897
Oakwood,Southgate,80,1772,874,1865.644854
Southgate,Oakwood,73,3660,423,1865.644854
All Saints,East India,0,740,1522,1866.247706
East India,All Saints,1,1760,444,1866.247706
Anerley,Sydenham,8,643,515,1867.372923
Sydenham,Anerley,6,1826,173,1867.372923
High Street Kensington,West Brompton,19,2159,5859,1868.249303
West Brompton,High Street Kensington,49,3831,5427,1868.249303
Kentish Town,Mornington Crescent,29,2414,2927,1871.778429
Mornington Crescent,Kentish Town,15,691,3404,1871.778429
Embankment,Oxford Circus,59,4081,44368,1875.969335
Oxford Circus,Embankment,17,2784,10220,1875.969335
Hatton Cross,Heathrow Terminal 4,13,1357,693,1876.332694
Heathrow Terminal 4,Hatton Cross,6,811,1219,1876.332694
Canary Wharf,Limehouse,377,14632,2969,1877.817231
Limehouse,Canary Wharf,627,5348,58772,1877.817231
Hyde Park Corner,South Kensington,6,259,15325,1884.768907
South Kensington,Hyde Park Corner,24,5030,2410,1884.768907
Blackfriars,Charing Cross,5,6781,7016,1886.965622
Charing Cross,Blackfriars,2,6491,10849,1886.965622
Arsenal,Manor House,3,2158,1311,1888.86632
Manor House,Arsenal,6,5459,315,1888.86632
Bond Street,Leicester Square,1,2038,8847,1892.862045
Leicester Square,Bond Street,3,985,20967,1892.862045
Clapham North,Clapham South,40,2846,1513,1895.075724
Clapham South,Clapham North,24,6636,1238,1895.075724
London City Airport,West Silvertown,15,2026,893,1897.39592
West Silvertown,London City Airport,18,899,1941,1897.39592
Bayswater,Paddington,87,1571,20198,1898.821051
Paddington,Bayswater,74,23381,615,1898.821051
Barons Court,Goldhawk Road,5,4052,370,1899.421421
Goldhawk Road,Barons Court,1,1347,2956,1899.421421
Gospel Oak,Upper Holloway,10,1085,898,1900.225302
Upper Holloway,Gospel Oak,35,372,2025,1900.225302
Bond Street,Lancaster Gate,7,2038,1820,1902.03842
Lancaster Gate,Bond Street,102,3514,20967,1902.03842
Euston,Euston Square,9,17796,8093,1902.848353
Euston Square,Euston,0,4926,16800,1902.848353
Cambridge Heath,Hackney Downs,5,328,835,1905.429698
Hackney Downs,Cambridge Heath,8,843,458,1905.429698
Paddington,Westbourne Park,60,23381,1347,1906.700759
Westbourne Park,Paddington,99,2416,20198,1906.700759
South Quay,Westferry,8,1677,1250,1907.41406
Westferry,South Quay,54,2205,4591,1907.41406
Haggerston,Shoreditch High Street,90,2049,7558,1909.831036
Shoreditch High Street,Haggerston,10,930,1184,1909.831036
Euston Square,Russell Square,0,4926,5172,1909.979384
Russell Square,Euston Square,0,1509,8093,1909.979384
Bush Hill Park,Edmonton Green,25,1390,783,1912.005443
Edmonton Green,Bush Hill Park,9,2079,176,1912.005443
Leytonstone High Road,Wanstead Park,10,624,416,1919.304807
Wanstead Park,Leytonstone High Road,8,763,314,1919.304807
Camden Town,Warren Street,28,3330,17309,1919.800012
Warren Street,Camden Town,12,1913,6348,1919.800012
Covent Garden,Westminster,4,424,15466,1921.70148
Westminster,Covent Garden,1,1519,4355,1921.70148
Alperton,Park Royal,64,1624,1552,1922.39821
Park Royal,Alperton,14,559,741,1922.39821
Gloucester Road,Sloane Square,107,4779,8229,1924.555851
Sloane Square,Gloucester Road,45,4957,5194,1924.555851
Becontree,Upney,21,2329,485,1927.156904
Upney,Becontree,8,1741,456,1927.156904
Crossharbour,West India Quay,6,1724,400,1927.205557
West India Quay,Crossharbour,2,162,1208,1927.205557
Bond Street,Hyde Park Corner,1,2038,2410,1928.801613
Hyde Park Corner,Bond Street,1,259,20967,1928.801613
Liverpool Street,Whitechapel,269,31473,17633,1929.200036
Whitechapel,Liverpool Street,153,12281,61122,1929.200036
Hyde Park Corner,Leicester Square,9,259,8847,1932.206793
Leicester Square,Hyde Park Corner,13,985,2410,1932.206793
Covent Garden,Waterloo,4,424,23466,1937.365268
Waterloo,Covent Garden,37,67372,4355,1937.365268
Chancery Lane,Piccadilly Circus,8,1148,13641,1938.646989
Piccadilly Circus,Chancery Lane,9,1037,15391,1938.646989
Langdon Park,Westferry,3,1468,1250,1940.919382
Westferry,Langdon Park,10,2205,1989,1940.919382
Piccadilly Circus,Regent's Park,8,1037,3364,1941.880702
Regent's Park,Piccadilly Circus,16,371,13641,1941.880702
Goodge Street,King's Cross St. Pancras,4,366,33330,1942.143885
King's Cross St. Pancras,Goodge Street,31,28307,6457,1942.143885
Sloane Square,St. James's Park,115,4957,13339,1943.06461
St. James's Park,Sloane Square,43,1809,8229,1943.06461
Bank and Monument,Chancery Lane,1122,29494,15391,1944.676038
Chancery Lane,Bank and Monument,174,1148,78549,1944.676038
Bank and Monument,Farringdon,144,29494,25592,1945.027771
Farringdon,Bank and Monument,55,5052,78549,1945.027771
Acton Town,North Ealing,20,3745,332,1951.031283
North Ealing,Acton Town,17,505,2202,1951.031283
Wapping,Whitechapel,299,1251,17633,1953.12206
Whitechapel,Wapping,171,12281,1066,1953.12206
East Acton,White City,42,2356,5966,1957.184516
White City,East Acton,8,2445,1505,1957.184516
Cannon Street,Old Street,2,3874,15897,1959.661896
Old Street,Cannon Street,1,5364,4698,1959.661896
Covent Garden,Temple,0,424,6780,1962.530939
Temple,Covent Garden,0,349,4355,1962.530939
Bushey,Carpenders Park,11,238,340,1962.978466
Carpenders Park,Bushey,217,1329,456,1962.978466
Gloucester Road,Notting Hill Gate,41,4779,5490,1965.764321
Notting Hill Gate,Gloucester Road,26,4945,5194,1965.764321
Ilford,Seven Kings,26,5298,559,1970.571924
Seven Kings,Ilford,58,3300,1665,1970.571924
Hammersmith,Wood Lane,199,11818,1578,1971.141713
Wood Lane,Hammersmith,164,1088,18250,1971.141713
Holborn,Warren Street,3,1662,17309,1974.107037
Warren Street,Holborn,8,1913,22346,1974.107037
Beckton,Cyprus,6,1179,850,1978.022156
Cyprus,Beckton,0,500,442,1978.022156
Arnos Grove,Southgate,71,3046,874,1979.148587
Southgate,Arnos Grove,58,3660,748,1979.148587
Harrow-on-the-Hill,North Harrow,7,6326,190,1979.628722
North Harrow,Harrow-on-the-Hill,53,1912,3019,1979.628722
Crystal Palace,Sydenham,12,1935,515,1979.832934
Sydenham,Crystal Palace,29,1826,499,1979.832934
Blackwall,Langdon Park,0,952,1989,1981.364495
Langdon Park,Blackwall,1,1468,665,1981.364495
Hackney Downs,Stoke Newington,8,843,479,1984.278092
Stoke Newington,Hackney Downs,8,1096,835,1984.278092
Green Park,St. James's Park,3,2066,13339,1984.529535
St. James's Park,Green Park,5,1809,26754,1984.529535
Greenwich,Mudchute,10,1374,302,1984.69598
Mudchute,Greenwich,41,1355,1189,1984.69598
Lambeth North,St. James's Park,16,1114,13339,1984.798422
St. James's Park,Lambeth North,0,1809,1319,1984.798422
Bank and Monument,Southwark,22,29494,10326,1985.077456
Southwark,Bank and Monument,25,4882,78549,1985.077456
Euston Square,Marylebone,5,4926,4250,1985.077989
Marylebone,Euston Square,19,6125,8093,1985.077989
Fairlop,Grange Hill,0,995,76,1986.332176
Grange Hill,Fairlop,5,654,182,1986.332176
Piccadilly Circus,Victoria,24,1037,33251,1987.225896
Victoria,Piccadilly Circus,242,37517,13641,1987.225896
Green Park,Regent's Park,4,2066,3364,1988.617103
Regent's Park,Green Park,5,371,26754,1988.617103
Camden Road,Gospel Oak,19,1207,2025,1989.404372
Gospel Oak,Camden Road,26,1085,3784,1989.404372
Hyde Park Corner,Victoria,3,259,33251,1989.489109
Victoria,Hyde Park Corner,18,37517,2410,1989.489109
Bank and Monument,Temple,279,29494,6780,1989.796518
Temple,Bank and Monument,33,349,78549,1989.796518
Bethnal Green,Mile End,76,6798,3759,1992.421802
Mile End,Bethnal Green,37,7145,4660,1992.421802
Rectory Road,Stamford Hill,8,953,352,1994.725798
Stamford Hill,Rectory Road,4,491,219,1994.725798
All Saints,Bow Church,74,740,925,1997.258036
Bow Church,All Saints,70,1663,444,1997.258036
Chancery Lane,Goodge Street,1,1148,6457,2007.01774
Goodge Street,Chancery Lane,1,366,15391,2007.01774
Aldgate East,Cannon Street,85,3172,4698,2008.277144
Cannon Street,Aldgate East,383,3874,7932,2008.277144
Aldgate,Old Street,8,2886,15897,2009.691249
Old Street,Aldgate,13,5364,7782,2009.691249
Aldgate,Mansion House,5,2886,7815,2014.408663
Mansion House,Aldgate,4,516,7782,2014.408663
Blackfriars,Moorgate,23,6781,24574,2014.58518
Moorgate,Blackfriars,6,4416,10849,2014.58518
Royal Albert,Royal Victoria,8,650,763,2019.25075
Royal Victoria,Royal Albert,8,2057,684,2019.25075
Westbourne Park,Wood Lane,81,2416,1578,2019.382538
Wood Lane,Westbourne Park,55,1088,1347,2019.382538
Farringdon,Old Street,30,5052,15897,2021.718029
Old Street,Farringdon,27,5364,25592,2021.718029
East India,Star Lane,0,1760,1052,2022.217691
Star Lane,East India,2,438,1522,2022.217691
Ealing Common,Park Royal,37,2003,1552,2024.066905
Park Royal,Ealing Common,9,559,915,2024.066905
Chancery Lane,Charing Cross,3,1148,7016,2026.0304
Charing Cross,Chancery Lane,16,6491,15391,2026.0304
Hampstead Heath,Kentish Town West,3,915,1128,2029.720028
Kentish Town West,Hampstead Heath,83,712,2792,2029.720028
Neasden,Willesden Green,21,2333,830,2031.692396
Willesden Green,Neasden,17,5675,732,2031.692396
Belsize Park,Camden Town,32,2744,6348,2031.878086
Camden Town,Belsize Park,33,3330,2255,2031.878086
Embankment,Goodge Street,20,4081,6457,2032.818378
Goodge Street,Embankment,7,366,10220,2032.818378
Caledonian Road,King's Cross St. Pancras,116,2839,33330,2034.700365
King's Cross St. Pancras,Caledonian Road,90,28307,1803,2034.700365
Gallions Reach,Royal Albert,5,636,684,2036.110507
Royal Albert,Gallions Reach,6,650,557,2036.110507
Queen's Park,South Hampstead,27,5249,236,2040.858538
South Hampstead,Queen's Park,11,248,2167,2040.858538
Camden Town,Tufnell Park,15,3330,557,2042.566651
Tufnell Park,Camden Town,48,2742,6348,2042.566651
Aldgate East,Stepney Green,38,3172,1879,2043.498252
Stepney Green,Aldgate East,99,2731,7932,2043.498252
Angel,Euston,133,4199,16800,2043.688394
Euston,Angel,228,17796,8103,2043.688394
Barkingside,Hainault,3,1301,356,2047.413402
Hainault,Barkingside,13,3117,262,2047.413402
Balham,Tooting Broadway,422,9619,4506,2050.126864
Tooting Broadway,Balham,677,9546,3814,2050.126864
Angel,Russell Square,9,4199,5172,2050.819425
Russell Square,Angel,5,1509,8103,2050.819425
Hampstead Heath,West Hampstead,152,915,5856,2051.190677
West Hampstead,Hampstead Heath,189,10371,2792,2051.190677
Debden,Loughton,34,1636,655,2052.11709
Loughton,Debden,39,2730,865,2052.11709
Gloucester Road,Knightsbridge,36,4779,6821,2052.148798
Knightsbridge,Gloucester Road,9,1125,5194,2052.148798
Star Lane,Stratford High Street,11,438,788,2052.705386
Stratford High Street,Star Lane,22,379,1052,2052.705386
East Putney,Parsons Green,116,5448,2711,2053.02794
Parsons Green,East Putney,87,4361,1877,2053.02794
East India,Heron Quays,21,1760,5975,2053.944541
Heron Quays,East India,3,1788,1522,2053.944541
Caledonian Road,Finsbury Park,26,2839,6769,2054.759272
Finsbury Park,Caledonian Road,72,24735,1803,2054.759272
Croxley,Watford,66,1035,961,2054.878525
Watford,Croxley,95,1400,340,2054.878525
Finsbury Park,Highbury & Islington,3659,24735,25385,2057.34396
Highbury & Islington,Finsbury Park,958,23714,6769,2057.34396
Barbican,Mansion House,0,1239,7815,2061.60925
Mansion House,Barbican,1,516,9134,2061.60925
Canary Wharf,Mudchute,38,14632,302,2066.331142
Mudchute,Canary Wharf,73,1355,58772,2066.331142
Southwark,St. James's Park,41,4882,13339,2067.536296
St. James's Park,Southwark,13,1809,10326,2067.536296
Barons Court,West Brompton,5,4052,5859,2072.187257
West Brompton,Barons Court,4,3831,2956,2072.187257
Bond Street,Goodge Street,0,2038,6457,2073.115241
Goodge Street,Bond Street,1,366,20967,2073.115241
Greenwich,Lewisham,134,1374,2400,2075.910153
Lewisham,Greenwich,179,7868,1189,2075.910153
Marble Arch,Queensway,14,1808,1882,2076.751806
Queensway,Marble Arch,80,2714,6145,2076.751806
Blackfriars,Tower Hill,443,6781,8286,2077.486162
Tower Hill,Blackfriars,801,8501,10849,2077.486162
Beckton Park,Custom House,0,293,845,2079.133855
Custom House,Beckton Park,0,785,88,2079.133855
Blackfriars,Liverpool Street,110,6781,61122,2079.258402
Liverpool Street,Blackfriars,300,31473,10849,2079.258402
Piccadilly Circus,Russell Square,11,1037,5172,2079.597591
Russell Square,Piccadilly Circus,50,1509,13641,2079.597591
New Cross Gate,Surrey Quays,3,1702,1005,2081.768585
Surrey Quays,New Cross Gate,19,3443,1340,2081.768585
Blackfriars,St. Paul's,0,6781,13446,2087.280559
St. Paul's,Blackfriars,0,878,10849,2087.280559
Bermondsey,London Bridge,243,5102,29930,2087.826538
London Bridge,Bermondsey,160,32597,3172,2087.826538
Bond Street,Charing Cross,2,2038,7016,2089.979079
Charing Cross,Bond Street,29,6491,20967,2089.979079
Embankment,Victoria,59,4081,33251,2091.81948
Victoria,Embankment,242,37517,10220,2091.81948
Aldgate East,Barbican,45,3172,9134,2107.241782
Barbican,Aldgate East,13,1239,7932,2107.241782
St. James's Park,Temple,100,1809,6780,2109.107886
Temple,St. James's Park,32,349,13339,2109.107886
Mile End,Whitechapel,270,7145,17633,2109.436561
Whitechapel,Mile End,123,12281,3759,2109.436561
Devons Road,Poplar,35,1387,1301,2110.754733
Poplar,Devons Road,29,2271,611,2110.754733
Marble Arch,Tottenham Court Road,60,1808,19126,2112.079106
Tottenham Court Road,Marble Arch,27,1773,6145,2112.079106
Piccadilly Circus,Warren Street,1,1037,17309,2113.544521
Warren Street,Piccadilly Circus,6,1913,13641,2113.544521
Leicester Square,St. James's Park,4,985,13339,2116.919521
St. James's Park,Leicester Square,3,1809,8847,2116.919521
Canning Town,Prince Regent,394,21125,754,2120.419341
Prince Regent,Canning Town,423,936,15428,2120.419341
Ruislip Gardens,West Ruislip,20,965,194,2124.393196
West Ruislip,Ruislip Gardens,45,1083,167,2124.393196
Blackfriars,London Bridge,8,6781,29930,2124.48409
London Bridge,Blackfriars,13,32597,10849,2124.48409
London Fields,Rectory Road,5,1090,219,2127.035089
Rectory Road,London Fields,24,953,790,2127.035089
Regent's Park,Warren Street,0,371,17309,2127.765074
Warren Street,Regent's Park,0,1913,3364,2127.765074
Acton Town,South Ealing,21,3745,670,2127.939214
South Ealing,Acton Town,34,2176,2202,2127.939214
Covent Garden,Warren Street,0,424,17309,2128.517049
Warren Street,Covent Garden,0,1913,4355,2128.517049
Charing Cross,Hyde Park Corner,25,6491,2410,2129.323827
Hyde Park Corner,Charing Cross,1,259,7016,2129.323827
Leyton,Stratford,1193,7651,55954,2131.342926
Stratford,Leyton,311,59311,1447,2131.342926
Lambeth North,Temple,1,1114,6780,2137.711391
Temple,Lambeth North,0,349,1319,2137.711391
Baker Street,St. John's Wood,42,7444,3982,2138.930093
St. John's Wood,Baker Street,49,3240,14973,2138.930093
Knightsbridge,Piccadilly Circus,70,1125,13641,2141.468975
Piccadilly Circus,Knightsbridge,24,1037,6821,2141.468975
Bromley-by-Bow,Plaistow,20,2555,1049,2142.081036
Plaistow,Bromley-by-Bow,78,3634,1613,2142.081036
Tottenham Court Road,Westminster,13,1773,15466,2142.110552
Westminster,Tottenham Court Road,4,1519,19126,2142.110552
Chancery Lane,King's Cross St. Pancras,2,1148,33330,2142.418732
King's Cross St. Pancras,Chancery Lane,37,28307,15391,2142.418732
Hillingdon,Uxbridge,79,1337,4316,2144.395127
Uxbridge,Hillingdon,62,2764,318,2144.395127
East India,Royal Victoria,10,1760,763,2144.807573
Royal Victoria,East India,21,2057,1522,2144.807573
Bow Church,Stratford,361,1663,55954,2145.327551
Stratford,Bow Church,177,59311,925,2145.327551
Lambeth North,Leicester Square,3,1114,8847,2145.523026
Leicester Square,Lambeth North,0,985,1319,2145.523026
Cutty Sark,Elverson Road,6,2122,226,2146.006793
Elverson Road,Cutty Sark,23,1151,1748,2146.006793
Clapham South,Tooting Bec,12,6636,1239,2147.800022
Tooting Bec,Clapham South,20,6734,1513,2147.800022
Goodge Street,Russell Square,0,366,5172,2147.968343
Russell Square,Goodge Street,0,1509,6457,2147.968343
Green Park,Holborn,39,2066,22346,2150.789363
Holborn,Green Park,30,1662,26754,2150.789363
Colindale,Hendon Central,115,5389,1878,2152.513379
Hendon Central,Colindale,45,4059,2081,2152.513379
Hammersmith,Turnham Green,42,11818,1515,2154.156717
Turnham Green,Hammersmith,219,3650,18250,2154.156717
Gunnersbury,Stamford Brook,13,2274,784,2157.607208
Stamford Brook,Gunnersbury,24,1837,4775,2157.607208
Tottenham Court Road,Waterloo,66,1773,23466,2157.77434
Waterloo,Tottenham Court Road,1979,67372,19126,2157.77434
Northwood Hills,Pinner,11,1454,292,2158.648592
Pinner,Northwood Hills,18,2875,488,2158.648592
Green Park,Warren Street,32,2066,17309,2160.280922
Warren Street,Green Park,66,1913,26754,2160.280922
Dalston Kingsland,Highbury & Islington,955,2890,25385,2162.288109
Highbury & Islington,Dalston Kingsland,437,23714,2091,2162.288109
Shadwell,Westferry,140,6741,1250,2166.12074
Westferry,Shadwell,178,2205,7447,2166.12074
Charing Cross,Russell Square,39,6491,5172,2166.981002
Russell Square,Charing Cross,12,1509,7016,2166.981002
Kew Gardens,Richmond,406,2241,5397,2168.163264
Richmond,Kew Gardens,131,5157,792,2168.163264
Acton Central,Gunnersbury,102,1224,4775,2169.36665
Gunnersbury,Acton Central,15,2274,750,2169.36665
King George V,Pontoon Dock,3,969,1123,2169.926921
Pontoon Dock,King George V,20,2012,800,2169.926921
Canonbury,Haggerston,7,2410,1184,2171.876942
Haggerston,Canonbury,7,2049,846,2171.876942
Kennington,London Bridge,127,3583,29930,2175.302409
London Bridge,Kennington,126,32597,1161,2175.302409
Pimlico,St. James's Park,4,3917,13339,2177.183747
St. James's Park,Pimlico,0,1809,5585,2177.183747
Borough,Moorgate,139,1346,24574,2178.1517
Moorgate,Borough,144,4416,3254,2178.1517
Goldhawk Road,Ladbroke Grove,48,1347,2131,2178.994988
Ladbroke Grove,Goldhawk Road,26,2371,370,2178.994988
Cyprus,Prince Regent,7,500,754,2182.757109
Prince Regent,Cyprus,14,936,850,2182.757109
Temple,Tottenham Court Road,1,349,19126,2182.94001
Tottenham Court Road,Temple,1,1773,6780,2182.94001
Finchley Central,Woodside Park,87,6268,745,2183.265295
Woodside Park,Finchley Central,89,3093,1921,2183.265295
Crossharbour,Poplar,12,1724,1301,2188.06813
Poplar,Crossharbour,27,2271,1208,2188.06813
Victoria,Waterloo,98,37517,23466,2188.414963
Waterloo,Victoria,285,67372,33251,2188.414963
Chigwell,Roding Valley,3,471,84,2188.659366
Roding Valley,Chigwell,23,407,148,2188.659366
Kensal Green,Kilburn Park,18,1849,823,2194.456612
Kilburn Park,Kensal Green,5,1886,472,2194.456612
Holland Park,Lancaster Gate,4,1542,1820,2196.206015
Lancaster Gate,Holland Park,5,3514,2063,2196.206015
Heron Quays,Langdon Park,40,1788,1989,2198.084715
Langdon Park,Heron Quays,64,1468,5975,2198.084715
Kennington,Stockwell,7,3583,1623,2199.182223
Stockwell,Kennington,10,10667,1161,2199.182223
West Hampstead,Willesden Green,35,10371,830,2200.679537
Willesden Green,West Hampstead,229,5675,5856,2200.679537
Marble Arch,Piccadilly Circus,7,1808,13641,2201.606874
Piccadilly Circus,Marble Arch,2,1037,6145,2201.606874
Hyde Park Corner,Westminster,1,259,15466,2203.669495
Westminster,Hyde Park Corner,2,1519,2410,2203.669495
Clapham Junction,Imperial Wharf,659,6931,2049,2203.76823
Imperial Wharf,Clapham Junction,242,868,4969,2203.76823
Embankment,Mansion House,127,4081,7815,2206.899098
Mansion House,Embankment,48,516,10220,2206.899098
Mansion House,Old Street,0,516,15897,2207.840602
